,Virginia,California,Florida,New York,Massachusetts,the District of Columbia,Colorado,New Jersey,Nevada,Washington,Texas,Indiana,Montana,Wisconsin,Oregon,Arizona,New Hampshire,North Carolina,Georgia,Hawaii,Vermont,Ohio,South Carolina,Minnesota,Missouri,Michigan,Illinois,Maryland,Idaho,Utah,Tennessee,Connecticut,Oklahoma,West Virginia,Pennsylvania,Mississippi,Nebraska,Iowa,Kansas,Rhode Island,South Dakota,Alaska,Louisiana,New Mexico,Delaware,Alabama,North Dakota,Arkansas,Wyoming,Maine,Kentucky
2000-01-01,114447.61021583377,186124.6032565746,104138.95676812458,125379.7774100826,189412.8204942369,150672.57040025375,174610.01104079135,154530.57267629923,155143.82239507776,166298.0638909308,103490.65946697754,93508.34374178147,,102198.33073744272,147594.07505308127,130444.87982225289,128542.81132792897,121193.61668984295,115605.35631890188,175682.8587036989,88760.46352736291,99008.77939771592,103430.26991585424,116587.65095034051,87718.96830010667,102875.21366338176,113186.84736138114,142188.52658603995,118885.70928190286,161826.87044872434,92783.60374373283,160790.59894977152,72415.21693881747,58202.55537059376,90492.77363165094,69873.24398088163,109894.15354207749,78303.86434287335,74165.03114929922,129229.89417018132,94697.8081345844,126045.0777203874,86751.76472767057,,136791.58782472953,79949.6840142641,,70745.00576467946,,96920.58660075474,81637.45384540675
2000-02-01,114741.96631521283,186751.736315731,104364.87401403402,125826.93783742853,190045.6387854137,151168.6530285488,175230.43333881669,154948.18695710076,155163.21197070554,166675.0832735916,103545.62409213213,93378.62058798852,,102167.50956078961,147919.17632317697,130681.40818205551,128978.43734375617,121374.93223305853,115866.57856683212,175604.72357377366,88905.99207584836,99068.78486970926,103658.2683925513,116978.43678406201,87821.73582080382,102926.46830546824,113278.60011753245,142168.2608939025,118814.62576513476,161913.65199660632,92862.22273139987,161402.1185057541,72448.96770084804,58201.41324783841,90686.45861996226,69832.7407018754,110069.70145951901,78456.89549854596,74173.79863409179,129818.91164793371,94488.90729056047,126188.98919951933,86921.14561167167,,137005.1490715049,80088.3002949351,,70839.76982203001,,97242.29060010485,81673.00781103037
2000-03-01,115054.21652792838,187597.32078229988,104638.3789598526,126256.87267560214,190798.775503175,151856.00931033658,175915.08608099,155345.74624597467,155403.93803361768,167057.36345412277,103571.54484577924,93232.43066207155,,102281.11660280322,148215.5574721351,130985.71906649145,129500.43947454123,121561.96422251979,116168.40602883964,175876.28639136077,89138.39385956846,99159.53361018898,103843.91550498763,117341.5159607315,87975.23005562763,103128.67069257687,113475.83532394831,142268.2065282569,118860.99586380867,162050.14079661923,92942.49139210937,162040.50182762707,72590.35719467337,58221.847381273015,90868.45088436804,69829.17094594373,110232.40362795182,78599.3208779298,74255.79309929203,130434.41593213542,94203.39887774266,126332.1447323814,87052.57279791981,,137270.20908923677,80181.11076733308,,70948.78579874353,,97530.45921094048,81743.93653678421
2000-04-01,115644.32271771198,189432.10020660618,105194.07730852916,127181.06215060879,192281.94333322824,153339.9305902224,177445.6730797868,156226.14145891945,155955.55175996647,167828.53078468633,103704.31753074152,92786.82880969915,,102444.13576563117,148837.35702998398,131606.99352091286,130284.49902246991,121968.74099162198,116804.16070190154,176346.6827067197,89595.77385338295,99427.38445996812,104269.77282771656,118194.7745830721,88326.23917566368,103532.49850352593,113938.90069120396,142508.99626286715,118956.70036935719,162394.01436503898,93134.74393532549,163121.98021638984,72847.28061234315,58272.75513614964,91239.25209425636,69876.39781883798,110486.56150319024,78905.54441724106,74377.3547748475,131649.3600320109,93817.25151783742,126500.11991188065,87348.1311227003,,137876.3228606748,80389.08165250406,,71182.31508646438,,98165.95361824943,81924.39808850003
2000-05-01,116214.88146723404,191563.09672656492,105792.93625912344,128135.46482231132,193887.37722261585,154984.89186286062,179153.18376918416,157122.1518148303,156658.28362859678,168667.94125201763,103789.66346396103,92570.86989193143,,102771.37512924838,149391.18724459273,132311.15772363768,131144.5273186304,122424.01827749517,117506.27986210986,177258.14086723517,90125.4446150792,99836.6945680076,104667.59166356303,119131.52808481672,88779.59732374478,104135.45838092918,114488.41719285761,143018.0576068587,119265.67555677629,163657.04151911766,93355.69237573289,164010.9018791587,73188.07534201692,58369.44648384723,91620.12595770061,70119.81602131034,110616.61205273557,79239.55176604255,74567.76779870021,132861.57094663332,93658.1715438319,126752.35169823228,87659.68764006358,,138566.94120887955,80621.18783720765,,71416.05506062924,,98766.42152434758,82171.00135398534
2000-06-01,116767.2578061886,193861.79927645324,106403.98043677944,129167.18324278384,195626.43691349807,156773.0787050007,180997.38921413152,158192.08195902663,157288.63925286374,169469.49216513106,103886.31136077091,92636.85528254889,,103156.1077771866,149905.43004426084,132944.5549653294,132052.75279083717,122910.53157793703,118251.08530991367,178286.76011972665,90620.32764865916,100345.76350257218,105106.2805590325,120216.35066795557,89280.84091706044,104802.5694167061,115106.27116659442,143637.2988847074,119642.49563727451,165051.49689071585,93574.17566926974,164892.34086672933,73509.49884925189,58527.87819089735,92011.48813838749,70470.3419326466,110694.4677206941,79575.17916797755,74785.297346878,133791.528512203,93550.7787340358,126941.22537084874,87997.74779543112,,139328.9619925837,80901.99353688651,,71643.88057391478,,99440.59820223982,82446.66236156716
2000-07-01,117439.32823111319,196289.68231087198,107018.17860520653,130094.69700292079,197683.74058349934,158477.16895007226,182866.6330353771,159403.7774392449,157776.4062624974,170341.5400189876,103950.106582294,93100.64351498587,,103665.86364370307,150333.8788741728,133589.0573868179,133311.18834414004,123387.50556817038,119004.42769277678,179315.8267889455,91112.2578536133,100849.86015854037,105532.33367126931,121411.44217319756,89825.89613803866,105585.64180693508,115777.05556456857,144371.06560769552,120014.74119465007,166451.3765935651,93809.73068214413,165878.58199270195,73841.41657075648,58735.02943199325,92427.05608641375,70795.05611872747,110782.59279174474,79916.23735687444,75070.30147637431,134645.0190929063,93476.88945470966,127335.86265378841,88327.015625791,,140104.45005908565,81162.21036800933,,71866.38957517828,,100164.68023238414,82761.51465019787
2000-08-01,118232.54050731291,198825.77583646355,107643.79980199483,130906.93419330525,200214.6695728999,159946.0112171279,184901.26711801902,160877.1888382825,158245.84729977485,171148.10837862166,104141.42210337314,93576.59485472122,,104229.40998476632,150791.721945576,134205.96704630274,134783.6916892362,123839.00136390631,119801.36493127646,180512.8286900511,91619.33432479443,101340.58616154268,106001.57855426462,123050.11328572391,90413.91772857033,106379.30687384523,116725.8689264049,145049.62454794213,120390.66963560482,167027.51261757745,94052.16742737142,167072.2675089793,74149.63608440383,59004.72830903225,92823.63938350708,71105.83937862715,110992.48685795594,80208.41252405096,75381.1570455607,135496.65498415867,93340.34676552463,127522.30105865195,88586.03670646378,,140859.035814699,81397.8081246056,,72118.96837876366,,100916.80304787122,83124.6790575657
2000-09-01,119099.6247113332,201369.00710662978,108292.1608869009,131627.8856636584,203057.88536713703,161045.3549039764,187037.59193973706,162506.5617636359,158810.7085147187,171882.83634461372,104393.29517573495,93945.90191740687,,104793.92348486926,151176.6647008149,134886.10695355167,136364.09086450725,124281.0733635684,120616.36998934532,181696.21074162386,92178.45290658192,101823.41455209076,106486.03915478506,124745.56507630115,91006.39501621544,107140.15458065427,117839.65392320008,145739.32805997666,120705.2911303056,167532.37861030782,94341.1955641292,168329.54565850704,74429.17771478186,59246.82766693309,93227.6781190756,71383.40689569032,111248.57894080823,80514.41427970583,75673.75225038554,136539.1009720609,93536.02570666414,127689.25594366806,88882.43461257032,,141555.58065891344,81651.91420664176,,72405.09076555725,,101698.38399121554,83529.65743280803
2000-10-01,119920.51919825243,203780.32304960946,108953.99788666777,132402.03394054933,206060.97485968503,161326.74769977134,189159.3881780057,164154.02325332566,159445.8468080211,172523.20290061212,104664.16706955909,94393.30318324373,,105346.65658637055,151563.40514478073,135540.77538563052,138181.06797220078,124749.27778410481,121463.86508773697,182934.41500305713,92850.35398703041,102290.4531696795,106962.72873957602,126481.71819165914,91636.99073810189,107852.11324580312,119122.35720209261,146466.42476544165,121009.37835480079,167960.37244794366,94620.43489112255,169705.49669545624,74678.41582151422,59526.16348602882,93615.16771843309,71767.52557719823,111517.36466525856,80893.03626854312,75973.92159549735,137583.29820367557,93755.7135059893,127632.00027639275,89233.78650908946,,142177.61754971815,81943.92491147714,,72693.8694362218,,102436.5378873616,83910.02756258838
